date,time,booking_id,booking_status,customer_id,vehicle_type,pickup_location,drop_location,avg_vtat,avg_ctat,cancelled_rides_by_customer,reason_for_cancelling_by_customer,cancelled_rides_by_driver,reason_for_cancelling_by_driver,incomplete_rides,incomplete_rides_reason,booking_value,ride_distance,driver_ratings,customer_rating,Payment_Method
2024-02-23,08:07:00,CNR8207111615,"Driver Not Found",451968,"Prime Plus","Area 5","Area 23",0,0,0,,0,,0,,463,0,0,0,Card
2024-02-12,21:20:00,CNR5102095661,"Cancelled By Driver",107193,"Prime SUV","Area 32","Area 1",0,0,0,,1,"More than permitted people in there",0,,456,0,0,0,Cash
2024-02-12,01:10:00,CNR9053941249,"Cancelled By Driver",913691,"Prime SUV","Area 49","Area 21",0,0,0,,1,"Personal & Car related issues",0,,204,0,0,0,Cash
2024-02-26,22:02:00,CNR3021447486,Success,601168,"Prime Sedan","Area 7","Area 39",4.94594,6.04025,0,,0,,0,,373,24.7,3.5,3.9,Card
2024-02-24,18:02:00,CNR9470962449,"Driver Not Found",517540,"Prime SUV","Area 8","Area 4",0,0,0,,0,,0,,310,0,0,0,Cash
2024-02-05,14:29:00,CNR2784362395,"Driver Not Found",420696,Bike,"Area 40","Area 25",0,0,0,,0,,0,,464,0,0,0,UPI
2024-02-09,23:33:00,CNR2970819608,Success,189980,"Prime Sedan","Area 43","Area 13",6.69705,18.6442,0,,0,,0,,331,8.54,3.8,4.1,Cash
2024-02-20,20:23:00,CNR1757359658,Success,909254,Bike,"Area 44","Area 25",9.27558,18.7237,0,,0,,0,,100,8.74,3.1,3.1,Cash
2024-02-24,09:51:00,CNR4565750126,Success,608412,Mini,"Area 44","Area 31",6.34643,18.3525,0,,0,,0,,979,19.01,4.6,4.6,Cash
2024-02-22,20:21:00,CNR4159214919,Success,420908,"Prime Plus","Area 29","Area 31",4.11759,17.2961,0,,0,,0,,997,17.24,4.8,3.1,UPI
2024-02-08,16:29:00,CNR8581199021,Success,387814,Bike,"Area 2","Area 41",3.05981,7.5246,0,,0,,0,,157,2.33,4.3,4.2,Cash
2024-02-03,14:36:00,CNR2868285244,Success,755554,eBike,"Area 40","Area 41",11.7656,7.2534,0,,0,,0,,209,11.93,4.7,4,Cash
2024-02-11,11:39:00,CNR7348053969,Success,319903,Mini,"Area 20","Area 23",3.07125,13.7601,0,,0,,0,,116,15.95,3.7,4.1,Cash
2024-02-15,14:55:00,CNR8346416652,"Cancelled by Customer",922952,"Prime SUV","Area 47","Area 1",0,0,1,"Change of plans",0,,0,,601,0,0,0,Card
2024-02-10,05:22:00,CNR7999496791,Success,856096,"Prime SUV","Area 45","Area 12",6.99033,11.7443,0,,0,,0,,605,15.76,4.3,4.3,Card
2024-02-03,15:41:00,CNR6979056004,Success,553429,"Prime Plus","Area 21","Area 31",14.2181,6.27993,0,,0,,0,,251,6.78,5,4.7,Card
2024-02-26,15:50:00,CNR2328833545,Success,216111,eBike,"Area 24","Area 47",13.9734,18.9172,0,,0,,0,,509,3.18,4.9,4.7,Cash
2024-02-23,17:52:00,CNR9673016483,Success,296444,Bike,"Area 48","Area 41",7.02583,6.95477,0,,0,,0,,230,22.8,5,4.6,Cash
2024-02-17,18:26:00,CNR8405553592,Success,923677,"Prime Plus","Area 24","Area 13",14.6439,9.93602,0,,0,,0,,117,4.53,3.5,4.1,UPI
